;taxno;taxno1;taxno2;Number;Genus;taxon;species;Subspecies;full.name;Lifecycle;PLOIDY;no_ploidy_lev;more_ploidies;ploidy_level;holoploid;monoploid;NewAPGFamily;Order;HigherGroup;reg_nat_main;reg_nat_island;reg_nat_total;GloNAF_incidence;reg_no_invasive;GloNAF_invasive;glonaf_3group;ploidy_level;ploidy_level_single
Colobanthus_quitensis;angiosperms;1angiosperms;2angiosperms;921;Colobanthus;quitensis;Colobanthus_quitensis;;Colobanthus quitensis ;P;D_P;2;2,4;2,4;1.12;0.56;Caryophyllaceae;Caryophyllales;E;NA;NA;NA;0;NA;0;0;2,4;2
Colymbada_orientalis;angiosperms;1angiosperms;2angiosperms;529;Colymbada;orientalis;Colymbada_orientalis;;Colymbada orientalis ;P;D_P;2;2,4;2,4;5.11;2.555;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,4;2
Commelina_diffusa;angiosperms;1angiosperms;2angiosperms;269.05;Commelina;diffusa;Commelina_diffusa;;Commelina diffusa ;A-P;D_P;2;2,6;2,6;11.8;5.9;Commelinaceae;Commelinales;M;10;41;51;1;4;1;2;2,6;2
Coronilla_varia;angiosperms;1angiosperms;2angiosperms;776;Coronilla;varia;Coronilla_varia;;Coronilla varia ;P;D_P;2;2,4;2,4;2.49;1.245;Fabaceae;Fabales;E;71;12;83;1;2;1;2;2,4;2
Cotoneaster_orbicularis;angiosperms;1angiosperms;2angiosperms;981;Cotoneaster;orbicularis;Cotoneaster_orbicularis;;Cotoneaster orbicularis ;P;D_P;2;2,4;2,4;2.92;1.46;Rosaceae;Rosales;E;NA;NA;NA;0;NA;0;0;2,4;2
Craspedia_glabrata;angiosperms;1angiosperms;2angiosperms;931;Craspedia;glabrata;Craspedia_glabrata;;Craspedia glabrata ;P;D_P;2;2+unknown;2+unknown;3.88;1.94;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,unknown;2
Craspedia_jamesii;angiosperms;1angiosperms;2angiosperms;931;Craspedia;jamesii;Craspedia_jamesii;;Craspedia jamesii ;P;D_P;2;2,4;2,4;2.21;1.105;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,4;2
Crataegus_laevigata;angiosperms;1angiosperms;2angiosperms;527;Crataegus;laevigata;Crataegus_laevigata;;Crataegus laevigata ;P;D_P;2;2,4;2,4;2.3;1.15;Rosaceae;Rosales;E;8;1;9;1;NA;0;1;2,4;2
Crataegus_pinnatifida;angiosperms;1angiosperms;2angiosperms;527;Crataegus;pinnatifida;Crataegus_pinnatifida;;Crataegus pinnatifida ;P;D_P;2;2,4;2,4;2.38;1.19;Rosaceae;Rosales;E;2;NA;2;1;NA;0;1;2,4;2
Crataegus_suksdorfii;angiosperms;1angiosperms;2angiosperms;527;Crataegus;suksdorfii;Crataegus_suksdorfii;;Crataegus suksdorfii ;P;D_P;2;2,4;2,4;2.19;1.095;Rosaceae;Rosales;E;NA;NA;NA;0;NA;0;0;2,4;2
Crataegus_triflora;angiosperms;1angiosperms;2angiosperms;527;Crataegus;triflora;Crataegus_triflora;;Crataegus triflora ;P;D_P;2;2,4;2,4;2.02;1.01;Rosaceae;Rosales;E;NA;NA;NA;0;NA;0;0;2,4;2
Cucumis_zeyheri;angiosperms;1angiosperms;2angiosperms;127;Cucumis;zeyheri;Cucumis_zeyheri;;Cucumis zeyheri ;P;D_P;2;2,4;2,4;2.3;1.15;Cucurbitaceae;Cucurbitales;E;1;NA;1;1;NA;0;1;2,4;2
Dactylis_glomerata;angiosperms;1angiosperms;2angiosperms;275;Dactylis;glomerata;Dactylis_glomerata;;Dactylis glomerata ;P;D_P;2;2,4;2,4;7.7;3.85;Poaceae;Poales;M;185;50;235;1;3;1;2;2,4;2
Dactylorhiza_maculata;angiosperms;1angiosperms;2angiosperms;517;Dactylorhiza;maculata;Dactylorhiza_maculata;;Dactylorhiza maculata ;P;D_P;2;2,4;2,4;9.06;4.53;Orchidaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2,4;2
Daphne_mezereum;angiosperms;1angiosperms;2angiosperms;776;Daphne;mezereum;Daphne_mezereum;;Daphne mezereum ;P;D_P;2;2,3;2,3;7.43;3.715;Thymelaeaceae;Malvales;E;19;2;21;1;1;1;2;2,3;2
Deschampsia_caespitosa;angiosperms;1angiosperms;2angiosperms;105;Deschampsia;caespitosa;Deschampsia_caespitosa;;Deschampsia caespitosa ;P;D_P;2;2,4;2,4;14.22;7.11;Poaceae;Poales;M;6;10;16;1;NA;0;1;2,4;2
Dioscorea_dumetorum;angiosperms;1angiosperms;2angiosperms;1002;Dioscorea;dumetorum;Dioscorea_dumetorum;;Dioscorea dumetorum ;P;D_P;2;2,3;2,3;0.87;0.435;Dioscoreaceae;Dioscoreales;M;NA;NA;NA;0;NA;0;0;2,3;2
Doronicum_glaciale;angiosperms;1angiosperms;2angiosperms;899;Doronicum;glaciale;Doronicum_glaciale;subsp. calcareum (Vierh.) Hegi;Doronicum glaciale subsp. calcareum (Vierh.) Hegi;P;D_P;2;2,3;2,3;11.71;5.855;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,3;2
Drimia_indica;angiosperms;1angiosperms;2angiosperms;788;Drimia;indica;Drimia_indica;;Drimia indica ;P;D_P;2;2,3;2,3;29.66;14.83;Asparagaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2,3;2
Drosera_spathulata;angiosperms;1angiosperms;2angiosperms;39;Drosera;spathulata;Drosera_spathulata;;Drosera spathulata ;P;D_P;2;2,8;2,8;1.05;0.525;Droseraceae;Caryophyllales;E;NA;NA;NA;0;NA;0;0;2,8;2
Elegia_asperiflora;angiosperms;1angiosperms;2angiosperms;913;Elegia;asperiflora;Elegia_asperiflora;;Elegia asperiflora ;P;D_P;2;2,4;2,4;4.15;2.075;Restionaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,4;2
Elegia_decipiens;angiosperms;1angiosperms;2angiosperms;913;Elegia;decipiens;Elegia_decipiens;;Elegia decipiens ;P;D_P;2;2,6;2,6;3.95;1.975;Restionaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,6;2
Elegia_ebracteata;angiosperms;1angiosperms;2angiosperms;913;Elegia;ebracteata;Elegia_ebracteata;;Elegia ebracteata ;P;D_P;2;2,3;2,3;2.39;1.195;Restionaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,3;2
Elegia_equisetacea;angiosperms;1angiosperms;2angiosperms;913;Elegia;equisetacea;Elegia_equisetacea;;Elegia equisetacea ;P;D_P;2;2,4;2,4;3.34;1.67;Restionaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,4;2
Elegia_macrocarpa;angiosperms;1angiosperms;2angiosperms;913;Elegia;macrocarpa;Elegia_macrocarpa;;Elegia macrocarpa ;P;D_P;2;2,4;2,4;3.52;1.76;Restionaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,4;2
Elegia_microcarpa;angiosperms;1angiosperms;2angiosperms;913;Elegia;microcarpa;Elegia_microcarpa;;Elegia microcarpa ;P;D_P;2;2,3;2,3;1.82;0.91;Restionaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,3;2
Elegia_persistens;angiosperms;1angiosperms;2angiosperms;913;Elegia;persistens;Elegia_persistens;;Elegia persistens ;P;D_P;2;2,6;2,6;4.69;2.345;Restionaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,6;2
Elegia_tectorum;angiosperms;1angiosperms;2angiosperms;913;Elegia;tectorum;Elegia_tectorum;;Elegia tectorum ;P;D_P;2;2,3;2,3;2.63;1.315;Restionaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,3;2
Elegia_vaginulata;angiosperms;1angiosperms;2angiosperms;913;Elegia;vaginulata;Elegia_vaginulata;;Elegia vaginulata ;P;D_P;2;2+unknown;2+unknown;4.12;2.06;Restionaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,unknown;2
Eleocharis_geniculata;angiosperms;1angiosperms;2angiosperms;962;Eleocharis;geniculata;Eleocharis_geniculata;;Eleocharis geniculata ;P;D_P;2;2,4;2,4;1.43;0.715;Cyperaceae;Poales;M;NA;8;8;1;NA;0;1;2,4;2
Eleusine_floccifolia;angiosperms;1angiosperms;2angiosperms;218;Eleusine;floccifolia;Eleusine_floccifolia;;Eleusine floccifolia ;P;D_P;2;2,4;2,4;4.7;2.35;Poaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,4;2
Erysimum_cheiranthoides;angiosperms;1angiosperms;2angiosperms;599;Erysimum;cheiranthoides;Erysimum_cheiranthoides;;Erysimum cheiranthoides ;;D_P;2;2,6;2,6;1.05;0.525;Brassicaceae;Brassicales;E;62;12;74;1;1;1;2;2,6;2
Euphorbia_hirta;angiosperms;1angiosperms;2angiosperms;945;Euphorbia;hirta;Euphorbia_hirta;;Euphorbia hirta ;P;D_P;2;2,4;2,4;1.04;0.52;Euphorbiaceae;Malpighiales;E;80;101;181;1;8;1;2;2,4;2
